Text,Date,Favorites,Retweets,Tweet ID
I have not heard any of the pundits or commentators discussing the fact that I spent FAR LESS MONEY on the win than Hillary on the loss!,2016-12-21 13:29:38,14755,4055,811564284706689024
"I would have done even better in the election, if that is possible, if the winner was based on popular vote - but would campaign differently",2016-12-21 13:24:29,11129,2789,811562990285848576
Campaigning to win the Electoral College is much more difficult & sophisticated than the popular vote. Hillary focused on the wrong states!,2016-12-21 13:15:14,14906,3925,811560662853939200
"Yes, it is true - Carlos Slim, the great businessman from Mexico, called me about getting together for a meeting. We met, HE IS A GREAT GUY!",2016-12-20 20:27:57,51424,12578,811307169043849216
"especially how to get people, even with an unlimited budget, out to vote in the vital swing states ( and more). They focused on wrong states",2016-12-20 13:09:18,35699,8008,811196778779463684
"Bill Clinton stated that I called him after the election. Wrong, he called me (with a very nice congratulations). He ""doesn't know much"" ...",2016-12-20 13:03:59,67369,16962,811195441710764032
"""@mike_pence: Congratulations to @RealDonaldTrump; officially elected President of the United States today by the Electoral College!""",2016-12-20 02:50:25,66605,14547,811041034323054592
"""@Franklin_Graham: Congratulations to President-elect @realDonaldTrump--the electoral votes are in and it's official."" Thank you Franklin!",2016-12-20 02:46:01,44713,9659,811039925571354624
"We did it! Thank you to all of my great supporters, we just officially won the election (despite all of the distorted and inaccurate media).",2016-12-19 23:51:41,212663,58419,810996052241293312
"Today there were terror attacks in Turkey, Switzerland and Germany - and it is only getting worse. The civilized world must change thinking!",2016-12-19 23:21:11,107569,38530,810988379051610112
"If my many supporters acted and threatened people like those who lost the election are doing, they would be scorned & called terrible names!",2016-12-18 21:54:40,130586,35798,810604216771284992
We should tell China that we don't want the drone they stole back.- let them keep it!,2016-12-18 00:59:25,62769,17611,810288321880555520
"Thank you Alabama! From now on, it’s going to be #AmericaFirst. Our goal is to bring back that wonderful phrase: #MadeInTheUSA!pic.twitter.com/O3RBYD2dT3",2016-12-18 00:12:05,51134,12465,810276411177107456
China steals United States Navy research drone in international waters - rips it out of water and takes it to China in unprecedented act.,2016-12-17 13:57:20,59074,19145,810121703288410112
"Mobile, Alabama today at 3:00 P.M. Last rally of the year - ""THANK YOU ALABAMA AND THE SOUTH"" Biggest of all crowds expected, see you there!",2016-12-17 13:20:23,38438,8024,810112407309844480
"""@EazyMF_E: @realDonaldTrump Many people are now saying you will be an extremely successful president! #MakeAmericaGreatAgain""  Thank you!",2016-12-17 13:07:22,33172,6885,810109131537481728
"Last night in Orlando, Florida, was incredible - massive crowd - THANK YOU FLORIDA! Today at 3:00 P.M. I will be in Alabama for last rally!",2016-12-17 13:05:02,34362,6274,810108542921408512
Thank you Florida. My Administration will follow two simple rules: BUY AMERICAN and HIRE AMERICAN! #ICYMI- Watch: https://www.facebook.com/DonaldTrump/videos/10158310632295725/ …pic.twitter.com/OawesIeUjB,2016-12-17 03:52:01,40827,10693,809969373754654721
"#ThankYouTour2016 

Tonight- Orlando, Florida 
Tickets: http://bit.ly/2gpz8goFLORIDA 

Tomorrow- Mobile, Alabama
Tickets: http://bit.ly/2gpwhwcALABAMA pic.twitter.com/udCCmET1jU – at Trump Tower",2016-12-16 16:54:28,26189,6860,809803893920165892
"Well, we all did it, together! I hope the ""MOVEMENT"" fans will go to D.C. on Jan 20th for the swearing in. Let's set the all time record!",2016-12-16 16:03:09,69168,17912,809790978332786689
Are we talking about the same cyberattack where it was revealed that head of the DNC illegally gave Hillary the questions to the debate?,2016-12-16 11:09:19,108333,33529,809717035353722880
"Thank you Pennsylvania! Together, we are going to MAKE AMERICA GREAT AGAIN! Watch here: https://www.facebook.com/DonaldTrump/videos/10158305240145725/ …
#ThankYouTour2016pic.twitter.com/Odd2JSTvkn",2016-12-16 01:32:56,36731,8748,809571983428120577
"Join me in Mobile, Alabama on Sat. at 3pm! #ThankYouTour2016 
Tickets: http://bit.ly/2gpwhwcALABAMA pic.twitter.com/opKrWO4k0C",2016-12-15 22:27:16,21024,5473,809525257371578369
"If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?",2016-12-15 14:24:29,123062,40780,809403760099422208
"The media tries so hard to make my move to the White House, as it pertains to my business, so complex - when actually it isn't!",2016-12-15 13:28:54,59933,13711,809389774066814976
"Thank you to Time Magazine and Financial Times for naming me ""Person of the Year"" - a great honor!",2016-12-15 13:09:14,55819,10631,809384826193276928
"Has anyone looked at the really poor numbers of @VanityFair Magazine. Way down, big trouble, dead! Graydon Carter, no talent, will be out!",2016-12-15 13:05:55,36589,8863,809383989018497024
.@BillGates and @JimBrownNFL32 in my Trump Tower office yesterday- two great guys!pic.twitter.com/4PjSOEU5y9,2016-12-14 18:07:55,56653,14016,809097603010981888
"Thank you Wisconsin! My Administration will be focused on three very important words: jobs, jobs, jobs! Watch: http://bit.ly/2gJ2K4pWisconsinLive …pic.twitter.com/87TyY7CG0X",2016-12-14 03:48:55,41757,9646,808881429715316737
"Join me this Saturday at Ladd–Peebles Stadium in Mobile, Alabama! 
#ThankYouTour2016

Tickets: http://bit.ly/2gpwhwcALABAMA pic.twitter.com/2aXHTRyNT3",2016-12-13 21:33:53,22625,6193,808787048144453632
